Transaction Date,Account,Transaction Description,Counterparty,Amount $,Credit/Debit,Opposite Account Number,Country,FATF Country Risk Rating
2022-04-07,123457,Internal Transfer In,,1039.82,Credit,,,
2022-04-07,123457,Cash Out,,9168.44,Debit,,,
2022-04-07,123457,ACH In,Xylem,806.37,Credit,,,
2022-04-07,123457,International Wire In,Dover Corporation,1772.72,Credit,,China,Low
2022-04-07,123457,Internal Transfer In,,6117.29,Credit,,,
2022-04-07,123457,ACH Out,Dover Corporation,4674.28,Debit,,,
2022-04-07,123456,Internal Transfer Out,,3733.85,Credit,123457,,
2022-04-07,123457,ACH In,General Electric,7007.11,Credit,,,
2022-04-07,123457,Cash In,,6876.02,Credit,,,
2022-04-07,123457,Domestic Wire Out,Eaton,3040.23,Debit,,,
2022-04-07,123457,Domestic Wire In,ABB,7174.61,Credit,,,
2022-04-07,123457,International Wire Out,3M,1182.89,Credit,,USA,Low
2022-04-07,123456,Internal Transfer Out,,3606.34,Credit,123457,,
2022-04-07,123457,Cash In,,9383.84,Credit,,,
2022-04-07,123456,Internal Transfer Out,,8399.31,Credit,123457,,
2022-04-07,123457,Cash In,,2293.99,Credit,,,
2022-04-07,123457,Cash In,,8459.99,Credit,,,
2022-04-07,123457,ACH In,Johnson Controls,8908.47,Credit,,,
2022-04-07,123457,ACH In,Eaton,3195.71,Credit,,,
2022-04-07,123457,Cash In,,9553.9,Credit,,,
2022-04-07,123457,Cash In,,6313.22,Credit,,,
2022-04-07,123457,International Wire Out,Rockwell Automation,7146.58,Credit,,India,High
2022-04-07,123457,Domestic Wire Out,Danaher,4063.51,Debit,,,
2022-04-07,123457,International Wire Out,ABB,7621.2,Credit,,India,High
2022-04-07,123457,Domestic Wire Out,Cummins,1355.43,Debit,,,
2022-04-07,123457,ACH In,Cummins,9753.77,Credit,,,
2022-04-08,123457,ACH Out,Rockwell Automation,8999.58,Debit,,,
2022-04-08,123457,ACH Out,Xylem,4560.92,Debit,,,
2022-04-08,123456,Internal Transfer Out,,1329.72,Credit,123457,,
2022-04-08,123457,Cash In,,7026.12,Credit,,,
2022-04-08,123457,International Wire In,Parker-Hannifin,4129.78,Credit,,USA,Low
2022-04-08,123457,Cash Out,,6111.78,Debit,,,
2022-04-08,123457,International Wire In,ABB,8026.72,Credit,,China,High
2022-04-08,123457,Internal Transfer In,,4294.34,Credit,,,
2022-04-08,123457,Cash Out,,7378.74,Debit,,,
2022-04-08,123457,Domestic Wire In,Emerson Electric,8216.81,Credit,,,
2022-04-08,123457,Domestic Wire Out,Parker-Hannifin,9500.74,Debit,,,
2022-04-08,123457,ACH In,Cummins,413.37,Credit,,,
2022-04-08,123457,Cash Out,,4637.88,Debit,,,
2022-04-08,123457,Internal Transfer In,,4386.56,Credit,,,
2022-04-08,123457,International Wire In,3M,4327.98,Credit,,India,Low
2022-04-08,123457,ACH In,Emerson Electric,145.47,Credit,,,
2022-04-08,123457,International Wire Out,Siemens,7444.45,Credit,,India,High
2022-04-08,123457,International Wire In,Schneider Electric,4682.66,Credit,,India,Low
2022-04-08,123457,Cash Out,,6795.02,Debit,,,
2022-04-08,123457,Domestic Wire In,Ingersoll Rand,2782.63,Credit,,,
2022-04-08,123457,ACH In,Illinois Tool Works,3672.8,Credit,,,
2022-04-08,123457,International Wire In,ABB,6090.12,Credit,,USA,High
2022-04-08,123457,ACH Out,Deere & Company,2239.55,Debit,,,
2022-04-08,123456,Internal Transfer Out,,9915.56,Credit,123457,,
2022-04-08,123457,Cash In,,2010.41,Credit,,,
2022-04-08,123457,Internal Transfer In,,6026.02,Credit,,,
2022-04-08,123457,Cash Out,,2918.13,Debit,,,
2022-04-08,123457,ACH In,3M,8660.65,Credit,,,
2022-04-08,123457,Cash Out,,3388.25,Debit,,,
2022-04-08,123457,International Wire In,Emerson Electric,7252.24,Credit,,China,Low
2022-04-08,123457,Internal Transfer In,,9101.5,Credit,,,
2022-04-08,123457,Domestic Wire Out,Illinois Tool Works,6649.19,Debit,,,
2022-04-08,123456,Internal Transfer Out,,5556.85,Credit,123457,,
2022-04-08,123457,Cash Out,,9802.39,Debit,,,
2022-04-08,123457,Internal Transfer In,,7225.17,Credit,,,
2022-04-08,123457,ACH In,Xylem,2996.75,Credit,,,
2022-04-08,123457,International Wire In,Parker-Hannifin,3004.28,Credit,,India,Medium
2022-04-08,123457,Internal Transfer In,,3296.29,Credit,,,
2022-04-08,123457,Domestic Wire Out,ITT Inc.,4301.55,Debit,,,
2022-04-08,123457,Internal Transfer In,,549.22,Credit,,,
2022-04-08,123457,Domestic Wire Out,Dover Corporation,7447.18,Debit,,,
2022-04-08,123457,ACH Out,Deere & Company,5408.74,Debit,,,
2022-04-08,123457,ACH In,Siemens,8872.29,Credit,,,
2022-04-08,123457,International Wire Out,Deere & Company,5802.28,Credit,,India,High
2022-04-08,123456,Internal Transfer Out,,8967.07,Credit,123457,,
2022-04-08,123457,Domestic Wire Out,Siemens,5662.25,Debit,,,
2022-04-08,123457,Domestic Wire Out,Caterpillar,9787.28,Debit,,,
2022-04-08,123457,Domestic Wire Out,ITT Inc.,5767.42,Debit,,,
2022-04-08,123457,Cash In,,9873.02,Credit,,,
2022-04-08,123457,Internal Transfer In,,193.85,Credit,,,
2022-04-08,123457,Internal Transfer In,,493.43,Credit,,,
2022-04-08,123457,International Wire Out,Illinois Tool Works,1325.96,Credit,,China,High
2022-04-08,123456,Internal Transfer Out,,5615.43,Credit,123457,,
2022-04-08,123457,Domestic Wire Out,Dover Corporation,3140.36,Debit,,,
2022-04-08,123457,ACH In,Deere & Company,337.33,Credit,,,
2022-04-08,123457,Internal Transfer In,,9378.71,Credit,,,
2022-04-08,123457,Cash In,,7046.7,Credit,,,
2022-04-08,123457,ACH Out,Caterpillar,1028.1,Debit,,,
2022-04-08,123456,Internal Transfer Out,,7299.98,Credit,123457,,
2022-04-08,123457,Internal Transfer In,,8762.18,Credit,,,
2022-04-08,123457,Domestic Wire Out,Rockwell Automation,1049.09,Debit,,,
2022-04-08,123457,Internal Transfer In,,2808.76,Credit,,,
2022-04-08,123456,Internal Transfer Out,,3184.69,Credit,123457,,
2022-04-08,123457,Domestic Wire Out,Xylem,5658.91,Debit,,,
2022-04-08,123457,Cash Out,,7010.28,Debit,,,
2022-04-08,123457,Cash In,,9558.12,Credit,,,
2022-04-08,123457,ACH Out,Deere & Company,1309.17,Debit,,,
2022-04-08,123457,International Wire In,Xylem,2528.51,Credit,,USA,Medium
2022-04-08,123457,Domestic Wire In,Schneider Electric,6273.64,Credit,,,
2022-04-08,123457,ACH In,Honeywell,313.27,Credit,,,
2022-04-08,123457,Domestic Wire In,ITT Inc.,8394.79,Credit,,,
2022-04-08,123457,Domestic Wire In,3M,1599.41,Credit,,,
2022-04-08,123457,Cash Out,,515.81,Debit,,,
2022-04-08,123457,Internal Transfer In,,3325.22,Credit,,,
2022-04-08,123457,International Wire In,ITT Inc.,8474.01,Credit,,USA,Low
2022-04-08,123456,Internal Transfer Out,,5871.16,Credit,123457,,
2022-04-08,123457,Cash Out,,6658.19,Debit,,,
2022-04-08,123456,Internal Transfer Out,,2243.48,Credit,123457,,
2022-04-08,123457,Domestic Wire In,3M,4963.54,Credit,,,
2022-04-08,123457,Domestic Wire Out,Parker-Hannifin,9464.36,Debit,,,
2022-04-08,123457,ACH In,Emerson Electric,6128.02,Credit,,,
2022-04-08,123456,Internal Transfer Out,,2753.47,Credit,123457,,
2022-04-08,123457,Cash Out,,4591.69,Debit,,,
2022-04-08,123457,Cash Out,,154.79,Debit,,,
2022-04-08,123457,Domestic Wire Out,Emerson Electric,1557.39,Debit,,,
2022-04-09,123456,Internal Transfer Out,,1591.87,Credit,123457,,
2022-04-09,123457,ACH In,3M,8368.27,Credit,,,
2022-04-09,123457,International Wire In,Dover Corporation,6012.86,Credit,,India,Low
2022-04-09,123457,Cash In,,8192.5,Credit,,,
2022-04-09,123456,Internal Transfer Out,,6541.95,Credit,123457,,
2022-04-09,123457,International Wire Out,Rockwell Automation,8483.07,Credit,,USA,Medium
2022-04-09,123457,Domestic Wire In,Rockwell Automation,4248.72,Credit,,,
2022-04-09,123457,Internal Transfer In,,5798.95,Credit,,,
2022-04-09,123457,International Wire Out,Cummins,6872.29,Credit,,India,Low
2022-04-09,123456,Internal Transfer Out,,2019.47,Credit,123457,,
2022-04-09,123457,Cash In,,862.12,Credit,,,
2022-04-09,123457,ACH In,Parker-Hannifin,8506.95,Credit,,,
2022-04-09,123456,Internal Transfer Out,,8319.05,Credit,123457,,
2022-04-09,123457,Domestic Wire Out,Emerson Electric,2183.59,Debit,,,
2022-04-09,123457,ACH In,Ingersoll Rand,2368.72,Credit,,,
2022-04-09,123457,Cash Out,,4430.05,Debit,,,
2022-04-09,123456,Internal Transfer Out,,3379.32,Credit,123457,,
2022-04-09,123457,International Wire Out,General Electric,5696.66,Credit,,USA,Medium
2022-04-09,123457,Cash In,,8533.03,Credit,,,
2022-04-09,123457,International Wire Out,Cummins,6283.61,Credit,,India,Low
2022-04-09,123457,Internal Transfer In,,6651.24,Credit,,,
2022-04-09,123457,Domestic Wire In,General Electric,3050.23,Credit,,,
2022-04-09,123457,Internal Transfer In,,5706.06,Credit,,,
2022-04-09,123457,International Wire Out,Xylem,4179.96,Credit,,China,Medium
2022-04-09,123457,Cash In,,4441.43,Credit,,,
2022-04-09,123456,Internal Transfer Out,,8975.01,Credit,123457,,
2022-04-09,123457,Cash In,,4320.6,Credit,,,
2022-04-09,123457,Cash In,,4109.88,Credit,,,
2022-04-09,123457,International Wire Out,Ingersoll Rand,4631.1,Credit,,USA,Medium
2022-04-09,123457,Domestic Wire In,ABB,4897.36,Credit,,,
2022-04-09,123457,ACH Out,Danaher,4898.03,Debit,,,
2022-04-09,123457,International Wire In,Honeywell,6418.14,Credit,,China,High
2022-04-09,123457,ACH In,Xylem,4611.38,Credit,,,
2022-04-09,123457,International Wire In,Johnson Controls,8604.1,Credit,,India,High
2022-04-09,123457,International Wire Out,Johnson Controls,9632.36,Credit,,USA,Low
2022-04-09,123457,Internal Transfer In,,2620.28,Credit,,,
2022-04-09,123457,International Wire In,Schneider Electric,592.15,Credit,,China,Low
2022-04-09,123457,International Wire In,ABB,8119.67,Credit,,China,High
2022-04-09,123457,ACH Out,Dover Corporation,7889.0,Debit,,,
2022-04-09,123457,Cash Out,,8253.14,Debit,,,
2022-04-09,123457,ACH In,Illinois Tool Works,7148.07,Credit,,,
2022-04-09,123457,Domestic Wire Out,Illinois Tool Works,5411.5,Debit,,,
2022-04-09,123457,International Wire Out,Danaher,131.92,Credit,,India,Medium
2022-04-09,123457,Cash Out,,458.21,Debit,,,
2022-04-09,123456,Internal Transfer Out,,1076.16,Credit,123457,,
2022-04-09,123457,International Wire In,Deere & Company,5301.06,Credit,,India,Low
2022-04-09,123457,ACH Out,Caterpillar,472.41,Debit,,,
2022-04-09,123457,Cash Out,,5592.78,Debit,,,
2022-04-09,123456,Internal Transfer Out,,1603.09,Credit,123457,,
2022-04-09,123457,Domestic Wire In,Honeywell,3681.66,Credit,,,
2022-04-09,123457,Domestic Wire In,Dover Corporation,9986.85,Credit,,,
2022-04-09,123457,International Wire In,Schneider Electric,4331.23,Credit,,India,High
2022-04-09,123457,Domestic Wire In,Xylem,9277.03,Credit,,,
2022-04-09,123457,International Wire Out,Illinois Tool Works,7089.41,Credit,,USA,High
2022-04-09,123457,ACH Out,Honeywell,5860.86,Debit,,,
2022-04-09,123457,Internal Transfer In,,5689.31,Credit,,,
2022-04-09,123457,International Wire Out,Caterpillar,1322.52,Credit,,India,High
2022-04-09,123457,Domestic Wire In,ITT Inc.,1552.05,Credit,,,
2022-04-09,123457,Cash In,,6565.59,Credit,,,
2022-04-09,123457,International Wire Out,Dover Corporation,7482.43,Credit,,China,Low
2022-04-09,123457,Cash Out,,322.2,Debit,,,
2022-04-09,123457,Cash Out,,8394.9,Debit,,,
2022-04-09,123457,International Wire Out,General Electric,8383.64,Credit,,China,Medium
2022-04-09,123457,ACH Out,Cummins,6102.76,Debit,,,
2022-04-09,123457,Internal Transfer In,,9748.82,Credit,,,
2022-04-09,123456,Internal Transfer Out,,5227.32,Credit,123457,,
2022-04-09,123457,Internal Transfer In,,8126.22,Credit,,,
2022-04-09,123457,Domestic Wire Out,Honeywell,2064.16,Debit,,,
2022-04-09,123456,Internal Transfer Out,,5421.6,Credit,123457,,
2022-04-09,123457,Domestic Wire In,Emerson Electric,851.95,Credit,,,
2022-04-09,123457,Cash In,,847.75,Credit,,,
2022-04-09,123457,International Wire In,Emerson Electric,5969.96,Credit,,China,Low
2022-04-09,123457,Cash In,,1457.49,Credit,,,
2022-04-09,123457,ACH In,Johnson Controls,8647.94,Credit,,,
2022-04-09,123456,Internal Transfer Out,,5050.54,Credit,123457,,
2022-04-09,123457,Cash Out,,9462.84,Debit,,,
2022-04-09,123457,ACH Out,Cummins,7867.16,Debit,,,
2022-04-09,123457,Domestic Wire Out,Ingersoll Rand,4187.57,Debit,,,
2022-04-09,123457,International Wire In,General Electric,1587.43,Credit,,India,Low
2022-04-09,123457,ACH Out,Cummins,2431.93,Debit,,,
2022-04-09,123457,Domestic Wire In,3M,5851.33,Credit,,,
2022-04-09,123457,International Wire In,Ingersoll Rand,3261.26,Credit,,India,Low
2022-04-09,123457,Domestic Wire In,Deere & Company,6865.51,Credit,,,
2022-04-09,123457,Domestic Wire In,Xylem,4218.41,Credit,,,
2022-04-09,123457,International Wire In,Eaton,6438.64,Credit,,India,Low
2022-04-09,123457,ACH Out,Illinois Tool Works,3069.91,Debit,,,
2022-04-10,123457,Domestic Wire Out,Emerson Electric,9863.54,Debit,,,
2022-04-10,123457,Cash In,,3683.58,Credit,,,
2022-04-10,123457,International Wire In,Rockwell Automation,6371.07,Credit,,USA,High
2022-04-10,123457,Cash Out,,7796.55,Debit,,,
2022-04-10,123457,ACH Out,Honeywell,3054.41,Debit,,,
2022-04-10,123457,Cash In,,6664.64,Credit,,,
2022-04-10,123457,International Wire Out,ITT Inc.,1463.27,Credit,,China,Medium
2022-04-10,123457,Internal Transfer In,,758.25,Credit,,,
2022-04-10,123457,Cash Out,,3905.14,Debit,,,
2022-04-10,123457,Domestic Wire Out,3M,993.97,Debit,,,
2022-04-10,123457,Cash Out,,7193.02,Debit,,,
2022-04-10,123457,Domestic Wire Out,Danaher,4325.19,Debit,,,
2022-04-10,123457,Cash Out,,4686.14,Debit,,,
2022-04-10,123457,Cash In,,8132.16,Credit,,,
2022-04-10,123457,Domestic Wire In,Dover Corporation,7665.7,Credit,,,
2022-04-10,123457,Cash In,,7209.35,Credit,,,
2022-04-10,123456,Internal Transfer Out,,6100.39,Credit,123457,,
2022-04-10,123457,Cash Out,,3153.13,Debit,,,
2022-04-10,123457,ACH In,Deere & Company,2475.55,Credit,,,
2022-04-10,123457,Cash In,,5731.45,Credit,,,
2022-04-10,123457,Internal Transfer In,,8880.6,Credit,,,
2022-04-10,123457,Domestic Wire Out,General Electric,4372.25,Debit,,,
2022-04-10,123457,ACH In,Ingersoll Rand,7253.06,Credit,,,
2022-04-10,123457,ACH Out,Schneider Electric,7865.73,Debit,,,
2022-04-10,123457,Domestic Wire In,Johnson Controls,7540.02,Credit,,,
2022-04-10,123457,Domestic Wire In,Rockwell Automation,1412.86,Credit,,,
2022-04-10,123457,ACH Out,Xylem,6989.33,Debit,,,
2022-04-10,123457,Domestic Wire In,Ingersoll Rand,5899.15,Credit,,,
2022-04-10,123457,Cash Out,,4334.25,Debit,,,
2022-04-10,123457,Domestic Wire In,Parker-Hannifin,1871.85,Credit,,,
2022-04-10,123457,Cash In,,4616.47,Credit,,,
2022-04-10,123457,Domestic Wire In,3M,7138.69,Credit,,,
2022-04-10,123457,ACH Out,ITT Inc.,604.97,Debit,,,
2022-04-10,123456,Internal Transfer Out,,3195.14,Credit,123457,,
2022-04-10,123457,International Wire Out,Xylem,9511.65,Credit,,India,Low
2022-04-10,123457,Domestic Wire Out,ABB,2929.49,Debit,,,
2022-04-10,123457,Internal Transfer In,,9564.93,Credit,,,
2022-04-10,123457,International Wire In,Xylem,2569.99,Credit,,India,Medium
2022-04-10,123457,Cash In,,4195.41,Credit,,,
2022-04-10,123457,International Wire Out,Siemens,225.71,Credit,,India,Low
2022-04-10,123457,Internal Transfer In,,6694.98,Credit,,,
2022-04-10,123457,Cash In,,7989.36,Credit,,,
2022-04-10,123457,ACH In,Deere & Company,2812.69,Credit,,,
2022-04-10,123457,International Wire In,Schneider Electric,1257.19,Credit,,India,Low
2022-04-10,123457,ACH In,Cummins,9950.3,Credit,,,
2022-04-10,123457,International Wire Out,Deere & Company,8423.55,Credit,,India,Low
2022-04-10,123457,Internal Transfer In,,9004.63,Credit,,,
2022-04-10,123457,Domestic Wire In,Cummins,1605.58,Credit,,,
2022-04-10,123457,International Wire In,General Electric,313.44,Credit,,India,Medium
2022-04-10,123457,Domestic Wire In,Rockwell Automation,789.94,Credit,,,
2022-04-10,123456,Internal Transfer Out,,2861.22,Credit,123457,,
2022-04-10,123457,International Wire In,Deere & Company,5694.22,Credit,,India,High
2022-04-10,123457,Domestic Wire In,Illinois Tool Works,5957.8,Credit,,,
2022-04-10,123457,Cash In,,8878.45,Credit,,,
2022-04-10,123457,Domestic Wire Out,General Electric,750.32,Debit,,,
2022-04-10,123457,Domestic Wire Out,Illinois Tool Works,7385.05,Debit,,,
2022-04-10,123457,Domestic Wire In,Eaton,8589.51,Credit,,,
2022-04-10,123457,ACH In,ABB,9105.43,Credit,,,
2022-04-10,123457,International Wire Out,Eaton,8646.93,Credit,,India,High
2022-04-10,123457,Cash Out,,1612.11,Debit,,,
2022-04-10,123456,Internal Transfer Out,,942.14,Credit,123457,,
2022-04-10,123457,ACH Out,Johnson Controls,9349.2,Debit,,,
2022-04-10,123457,Domestic Wire Out,Johnson Controls,6165.49,Debit,,,
2022-04-10,123457,Cash In,,8272.89,Credit,,,
2022-04-10,123457,International Wire Out,3M,1153.29,Credit,,India,Medium
2022-04-10,123457,Cash Out,,5760.4,Debit,,,
2022-04-10,123457,Cash In,,4699.93,Credit,,,
2022-04-10,123457,Cash Out,,1593.64,Debit,,,
2022-04-10,123456,Internal Transfer Out,,1150.41,Credit,123457,,
2022-04-11,123457,International Wire In,Honeywell,2655.17,Credit,,China,High
2022-04-11,123457,Internal Transfer In,,6702.68,Credit,,,
2022-04-11,123457,International Wire Out,Danaher,1826.62,Credit,,USA,Low
2022-04-11,123457,ACH Out,Deere & Company,5206.08,Debit,,,
2022-04-11,123457,ACH Out,General Electric,2391.43,Debit,,,
2022-04-11,123457,International Wire Out,Caterpillar,6833.81,Credit,,India,Medium
2022-04-11,123457,Domestic Wire In,Deere & Company,5124.06,Credit,,,
2022-04-11,123457,ACH Out,Danaher,6206.29,Debit,,,
2022-04-11,123456,Internal Transfer Out,,3167.44,Credit,123457,,
2022-04-11,123457,Domestic Wire Out,Xylem,8090.46,Debit,,,
2022-04-11,123457,International Wire In,Johnson Controls,9479.7,Credit,,China,Medium
2022-04-11,123457,Cash In,,1191.98,Credit,,,
2022-04-11,123457,International Wire In,Rockwell Automation,106.13,Credit,,India,High
2022-04-11,123457,Domestic Wire Out,Rockwell Automation,5550.13,Debit,,,
2022-04-11,123457,Cash Out,,6374.29,Debit,,,
2022-04-11,123457,Domestic Wire In,Caterpillar,4055.31,Credit,,,
2022-04-11,123457,ACH In,Cummins,2643.42,Credit,,,
2022-04-11,123457,Cash In,,6504.13,Credit,,,
2022-04-11,123457,Domestic Wire In,Emerson Electric,1593.28,Credit,,,
2022-04-11,123457,International Wire In,Johnson Controls,7434.2,Credit,,China,High
2022-04-11,123457,Domestic Wire In,Johnson Controls,6709.08,Credit,,,
2022-04-11,123456,Internal Transfer Out,,3379.03,Credit,123457,,
2022-04-11,123457,Cash Out,,768.66,Debit,,,
2022-04-11,123456,Internal Transfer Out,,7784.69,Credit,123457,,
2022-04-11,123457,Domestic Wire Out,Emerson Electric,2295.22,Debit,,,
2022-04-11,123457,International Wire In,General Electric,1993.08,Credit,,China,High
2022-04-11,123457,Cash Out,,3834.3,Debit,,,
2022-04-11,123457,International Wire In,Deere & Company,3223.4,Credit,,India,High
2022-04-11,123457,Internal Transfer In,,2625.44,Credit,,,
2022-04-11,123457,Internal Transfer In,,7880.36,Credit,,,
2022-04-11,123457,ACH Out,Parker-Hannifin,6677.15,Debit,,,
2022-04-11,123457,ACH In,Dover Corporation,671.08,Credit,,,
2022-04-11,123457,Cash In,,7172.4,Credit,,,
2022-04-11,123457,Cash In,,2724.47,Credit,,,
2022-04-11,123457,Domestic Wire Out,Deere & Company,4679.96,Debit,,,
2022-04-11,123457,Internal Transfer In,,258.26,Credit,,,
2022-04-11,123457,ACH Out,ITT Inc.,357.7,Debit,,,
2022-04-11,123457,International Wire In,Ingersoll Rand,4612.98,Credit,,China,Medium
2022-04-11,123457,ACH Out,Cummins,777.24,Debit,,,
2022-04-11,123457,Cash Out,,7508.13,Debit,,,
2022-04-11,123457,Cash In,,8191.12,Credit,,,
2022-04-11,123457,International Wire Out,General Electric,4446.2,Credit,,China,Medium
2022-04-11,123457,ACH In,Danaher,537.44,Credit,,,
2022-04-11,123457,ACH Out,Ingersoll Rand,6869.74,Debit,,,
2022-04-11,123457,ACH In,Xylem,6723.4,Credit,,,
2022-04-11,123457,ACH Out,Siemens,5498.71,Debit,,,
2022-04-11,123457,International Wire In,Honeywell,6631.75,Credit,,China,High
2022-04-11,123457,Domestic Wire In,Cummins,349.98,Credit,,,
2022-04-11,123457,ACH Out,Caterpillar,553.7,Debit,,,
2022-04-11,123457,ACH In,Cummins,6426.67,Credit,,,
2022-04-11,123456,Internal Transfer Out,,9883.48,Credit,123457,,
2022-04-11,123457,Domestic Wire Out,Ingersoll Rand,9123.16,Debit,,,
2022-04-11,123457,Cash Out,,4488.8,Debit,,,
2022-04-11,123457,Cash Out,,4469.87,Debit,,,
2022-04-11,123457,Cash In,,1566.56,Credit,,,
2022-04-11,123457,ACH In,Dover Corporation,6865.48,Credit,,,
2022-04-11,123456,Internal Transfer Out,,419.88,Credit,123457,,
2022-04-11,123457,Internal Transfer In,,3959.76,Credit,,,
2022-04-11,123457,ACH Out,Danaher,4013.5,Debit,,,
2022-04-11,123456,Internal Transfer Out,,808.27,Credit,123457,,
2022-04-11,123457,ACH Out,Eaton,8850.96,Debit,,,
2022-04-11,123457,Internal Transfer In,,2020.82,Credit,,,
2022-04-11,123457,Domestic Wire In,Caterpillar,8083.5,Credit,,,
2022-04-11,123457,Internal Transfer In,,8270.06,Credit,,,
2022-04-11,123457,Cash Out,,1800.95,Debit,,,
2022-04-11,123457,International Wire In,Parker-Hannifin,6607.11,Credit,,USA,Medium
2022-04-11,123456,Internal Transfer Out,,1460.11,Credit,123457,,
2022-04-11,123457,Internal Transfer In,,2912.48,Credit,,,
2022-04-11,123457,Domestic Wire Out,General Electric,5690.62,Debit,,,
2022-04-11,123457,International Wire In,Honeywell,8856.16,Credit,,China,Low
2022-04-11,123457,Domestic Wire Out,ABB,3375.62,Debit,,,
2022-04-11,123457,Domestic Wire In,General Electric,8369.48,Credit,,,
2022-04-11,123457,International Wire In,3M,9387.52,Credit,,China,High
2022-04-11,123457,ACH Out,Siemens,5873.04,Debit,,,
2022-04-11,123457,Internal Transfer In,,7941.22,Credit,,,
2022-04-11,123457,Internal Transfer In,,2988.53,Credit,,,
2022-04-11,123457,Cash Out,,2080.85,Debit,,,
2022-04-11,123457,ACH In,Danaher,7392.17,Credit,,,
2022-04-11,123457,Domestic Wire In,Emerson Electric,614.3,Credit,,,
2022-04-11,123457,Cash Out,,8487.39,Debit,,,
2022-04-11,123457,International Wire Out,Schneider Electric,833.46,Credit,,USA,Low
2022-04-11,123457,Domestic Wire Out,3M,335.79,Debit,,,
2022-04-12,123457,Domestic Wire In,Eaton,1931.64,Credit,,,
2022-04-12,123457,Domestic Wire In,Dover Corporation,2033.43,Credit,,,
2022-04-12,123457,ACH In,Deere & Company,3291.42,Credit,,,
2022-04-12,123457,ACH Out,General Electric,5330.59,Debit,,,
2022-04-12,123457,ACH In,Xylem,3774.02,Credit,,,
2022-04-12,123457,Domestic Wire In,Illinois Tool Works,6630.12,Credit,,,
2022-04-12,123457,ACH Out,Honeywell,8494.86,Debit,,,
2022-04-12,123457,Cash Out,,4752.07,Debit,,,
2022-04-12,123457,Domestic Wire Out,Xylem,8457.55,Debit,,,
2022-04-12,123457,International Wire In,General Electric,7236.98,Credit,,India,Low
2022-04-12,123457,International Wire In,Rockwell Automation,6986.84,Credit,,India,High
2022-04-12,123457,International Wire In,Caterpillar,1924.45,Credit,,China,Low
2022-04-12,123457,Domestic Wire Out,Parker-Hannifin,8460.82,Debit,,,
2022-04-12,123457,Cash In,,6047.07,Credit,,,
2022-04-12,123457,ACH In,Honeywell,3567.04,Credit,,,
2022-04-12,123457,Domestic Wire Out,Cummins,3441.44,Debit,,,
2022-04-12,123457,Internal Transfer In,,4146.28,Credit,,,
2022-04-12,123457,ACH Out,Danaher,5542.91,Debit,,,
2022-04-12,123457,International Wire Out,Deere & Company,9573.68,Credit,,China,High
2022-04-12,123457,Cash In,,8421.5,Credit,,,
2022-04-12,123457,International Wire Out,ITT Inc.,2461.11,Credit,,China,Low
2022-04-12,123457,ACH Out,Honeywell,9052.36,Debit,,,
2022-04-12,123457,Internal Transfer In,,2266.32,Credit,,,
2022-04-12,123457,ACH Out,General Electric,592.4,Debit,,,
2022-04-12,123457,Domestic Wire In,ABB,9426.01,Credit,,,
2022-04-12,123457,ACH In,Rockwell Automation,4774.71,Credit,,,
2022-04-12,123457,Domestic Wire Out,Illinois Tool Works,8201.89,Debit,,,
2022-04-12,123457,Cash In,,856.56,Credit,,,
2022-04-12,123457,International Wire Out,Ingersoll Rand,381.82,Credit,,USA,High
2022-04-12,123457,ACH In,Johnson Controls,9544.58,Credit,,,
2022-04-12,123457,Cash Out,,9593.34,Debit,,,
2022-04-12,123456,Internal Transfer Out,,3509.48,Credit,123457,,
2022-04-12,123457,Cash Out,,7693.29,Debit,,,
2022-04-12,123457,Internal Transfer In,,6359.2,Credit,,,
2022-04-12,123457,ACH Out,3M,1181.13,Debit,,,
2022-04-12,123457,International Wire Out,3M,9171.28,Credit,,USA,Medium
2022-04-12,123457,Internal Transfer In,,9132.13,Credit,,,
2022-04-12,123457,Cash Out,,4022.81,Debit,,,
2022-04-12,123456,Internal Transfer Out,,8775.09,Credit,123457,,
2022-04-12,123457,Domestic Wire Out,Schneider Electric,1708.54,Debit,,,
2022-04-12,123457,International Wire Out,Ingersoll Rand,7338.12,Credit,,USA,Low
2022-04-12,123457,International Wire Out,Deere & Company,9783.13,Credit,,USA,Medium
2022-04-12,123457,Internal Transfer In,,6070.83,Credit,,,
2022-04-12,123457,International Wire Out,Xylem,591.14,Credit,,USA,High
2022-04-12,123457,Cash Out,,1841.57,Debit,,,
2022-04-12,123457,Domestic Wire Out,Xylem,5326.32,Debit,,,
2022-04-12,123457,Domestic Wire Out,Caterpillar,2915.81,Debit,,,
2022-04-12,123456,Internal Transfer Out,,2131.48,Credit,123457,,
2022-04-12,123457,Domestic Wire In,Illinois Tool Works,8510.74,Credit,,,
2022-04-12,123456,Internal Transfer Out,,5853.99,Credit,123457,,
2022-04-12,123457,Cash Out,,3838.59,Debit,,,
2022-04-12,123457,International Wire Out,Dover Corporation,6101.43,Credit,,India,High
2022-04-12,123456,Internal Transfer Out,,2070.62,Credit,123457,,
2022-04-12,123457,Cash Out,,9993.81,Debit,,,
2022-04-12,123457,International Wire In,Danaher,1357.13,Credit,,China,Low
2022-04-12,123457,Cash In,,2442.74,Credit,,,
2022-04-12,123457,International Wire Out,ABB,7133.06,Credit,,India,Low
